         time cstav() (F... 
------------- ------------- 
 1.590783e-04  3.856089e-02 
 5.567739e-04  3.299746e-02 
 9.544695e-04  1.926294e-02 
 1.352165e-03  8.060038e-04 
 1.749861e-03 -1.500329e-02 
 2.147556e-03 -2.616228e-02 
 2.545252e-03 -3.440690e-02 
 2.942948e-03 -4.182251e-02 
 3.340643e-03 -5.046617e-02 
 3.738339e-03 -6.057356e-02 
 4.136035e-03 -7.037125e-02 
 4.533730e-03 -7.742988e-02 
 4.931426e-03 -8.293941e-02 
 5.329121e-03 -8.861649e-02 
 5.726817e-03 -9.850991e-02 
 6.124513e-03 -1.140996e-01 
 6.522208e-03 -1.321545e-01 
 6.919904e-03 -1.468096e-01 
 7.317600e-03 -1.563843e-01 
 7.715295e-03 -1.625334e-01 
 8.112991e-03 -1.680682e-01 
 8.510686e-03 -1.762772e-01 
 8.908382e-03 -1.883390e-01 
 9.306078e-03 -2.007610e-01 
 9.703773e-03 -2.100209e-01 
 1.010147e-02 -2.156015e-01 
 1.049916e-02 -2.199895e-01 
 1.089686e-02 -2.284833e-01 
 1.129456e-02 -2.428345e-01 
 1.169225e-02 -2.601377e-01 
 1.208995e-02 -2.732309e-01 
 1.248764e-02 -2.799561e-01 
 1.288534e-02 -2.823993e-01 
 1.328303e-02 -2.860062e-01 
 1.368073e-02 -2.939397e-01 
 1.407843e-02 -3.077641e-01 
 1.447612e-02 -3.224538e-01 
 1.487382e-02 -3.339881e-01 
 1.527151e-02 -3.404511e-01 
 1.566921e-02 -3.458069e-01 
 1.606690e-02 -3.545362e-01 
 1.646460e-02 -3.692148e-01 
 1.686229e-02 -3.868144e-01 
 1.725999e-02 -4.011245e-01 
 1.765769e-02 -4.107252e-01 
 1.805538e-02 -4.161143e-01 
 1.845308e-02 -4.232587e-01 
 1.885077e-02 -4.348708e-01 
 1.924847e-02 -4.526125e-01 
 1.964616e-02 -4.703629e-01 
 2.004386e-02 -4.841462e-01 
 2.044156e-02 -4.927220e-01 
 2.083925e-02 -5.012234e-01 
 2.123695e-02 -5.140988e-01 
 2.163464e-02 -5.337097e-01 
 2.203234e-02 -5.539770e-01 
 2.243003e-02 -5.690124e-01 
 2.282773e-02 -5.762767e-01 
 2.322542e-02 -5.796523e-01 
 2.362312e-02 -5.863223e-01 
 2.402082e-02 -5.994270e-01 
 2.441851e-02 -6.180395e-01 
 2.481621e-02 -6.367487e-01 
 2.521390e-02 -6.501462e-01 
 2.561160e-02 -6.576198e-01 
 2.600929e-02 -6.646690e-01 
