         time cstav() (F... 
------------- ------------- 
 2.544540e-04 -5.187061e-01 
 5.725214e-04 -3.423367e-01 
 8.905889e-04 -2.334426e-01 
 1.208656e-03 -1.512539e-01 
 1.526724e-03 -8.084363e-02 
 1.844791e-03 -9.957190e-03 
 2.162859e-03  5.078762e-02 
 2.480926e-03  1.102701e-01 
 2.798994e-03  1.688794e-01 
 3.117061e-03  2.160594e-01 
 3.435128e-03  2.729200e-01 
 3.753196e-03  3.594272e-01 
 4.071263e-03  4.528163e-01 
 4.389331e-03  5.722752e-01 
 4.707398e-03  7.097272e-01 
 5.025466e-03  8.532058e-01 
 5.343533e-03  9.850840e-01 
 5.661601e-03  1.109390e+00 
 5.979668e-03  1.230614e+00 
 6.297736e-03  1.344855e+00 
 6.615803e-03  1.444345e+00 
 6.933870e-03  1.531513e+00 
 7.251938e-03  1.605392e+00 
 7.570005e-03  1.677283e+00 
 7.888073e-03  1.758080e+00 
 8.206140e-03  1.851931e+00 
 8.524208e-03  1.961291e+00 
 8.842275e-03  2.082719e+00 
 9.160343e-03  2.191824e+00 
 9.478410e-03  2.259612e+00 
 9.796478e-03  2.316016e+00 
 1.011455e-02  2.443554e+00 
 1.043261e-02  2.588442e+00 
 1.075068e-02  2.624710e+00 
 1.106875e-02  2.550362e+00 
 1.138681e-02  2.523041e+00 
 1.170488e-02  2.541796e+00 
 1.202295e-02  2.580954e+00 
 1.234102e-02  2.669372e+00 
 1.265908e-02  2.738015e+00 
 1.297715e-02  2.800312e+00 
 1.329522e-02  2.855858e+00 
 1.361329e-02  2.874995e+00 
 1.393135e-02  2.888686e+00 
 1.424942e-02  2.872736e+00 
 1.456749e-02  2.844286e+00 
 1.488556e-02  2.792765e+00 
 1.520362e-02  2.710285e+00 
 1.552169e-02  2.615624e+00 
 1.583976e-02  2.571872e+00 
 1.615783e-02  2.554895e+00 
 1.647589e-02  2.528034e+00 
 1.679396e-02  2.495830e+00 
 1.711203e-02  2.454083e+00 
 1.743010e-02  2.416991e+00 
 1.774816e-02  2.382157e+00 
 1.806623e-02  2.366641e+00 
 1.838430e-02  2.354130e+00 
 1.870237e-02  2.321566e+00 
 1.902043e-02  2.264077e+00 
 1.933850e-02  2.184059e+00 
 1.965657e-02  2.102151e+00 
 1.997464e-02  2.057441e+00 
 2.029270e-02  1.996304e+00 
 2.061077e-02  1.891185e+00 
 2.092884e-02  1.777494e+00 
 2.124691e-02  1.700803e+00 
 2.156497e-02  1.683582e+00 
 2.188304e-02  1.665731e+00 
 2.220111e-02  1.640507e+00 
 2.251918e-02  1.618843e+00 
 2.283724e-02  1.556023e+00 
 2.315531e-02  1.466968e+00 
 2.347338e-02  1.400201e+00 
 2.379145e-02  1.313401e+00 
 2.410951e-02  1.249541e+00 
 2.442758e-02  1.219214e+00 
 2.474565e-02  1.182935e+00 
 2.506372e-02  1.134033e+00 
 2.538178e-02  1.024235e+00 
 2.569985e-02  9.583464e-01 
 2.601792e-02  9.436570e-01 
 2.633599e-02  8.909383e-01 
 2.665405e-02  8.345078e-01 
 2.697212e-02  7.931666e-01 
 2.729019e-02  7.754283e-01 
 2.760825e-02  8.017381e-01 
 2.792632e-02  8.400182e-01 
 2.824439e-02  8.704328e-01 
 2.856246e-02  8.852323e-01 
 2.888052e-02  8.816499e-01 
 2.919859e-02  8.766383e-01 
 2.951666e-02  8.913016e-01 
 2.983473e-02  9.418330e-01 
 3.015279e-02  9.644579e-01 
 3.047086e-02  8.941711e-01 
 3.078893e-02  8.406478e-01 
 3.110700e-02  8.422647e-01 
 3.142506e-02  8.790490e-01 
 3.174313e-02  9.226176e-01 
 3.206120e-02  9.434298e-01 
 3.237927e-02  9.532825e-01 
 3.269733e-02  9.631479e-01 
 3.301540e-02  9.516269e-01 
 3.333347e-02  9.523079e-01 
 3.365154e-02  9.727672e-01 
 3.396960e-02  9.840726e-01 
 3.428767e-02  1.007924e+00 
 3.460574e-02  1.012110e+00 
 3.492381e-02  9.414869e-01 
 3.524187e-02  8.066810e-01 
 3.555994e-02  6.820301e-01 
 3.587801e-02  6.334210e-01 
 3.619608e-02  5.968837e-01 
 3.651414e-02  5.237911e-01 
 3.683221e-02  4.708609e-01 
 3.715028e-02  4.526216e-01 
 3.746835e-02  4.010772e-01 
 3.778641e-02  3.450983e-01 
 3.810448e-02  2.505241e-01 
 3.842255e-02  1.149802e-01 
 3.874062e-02 -3.283551e-02 
 3.905868e-02 -1.799665e-01 
 3.937675e-02 -3.001817e-01 
 3.969482e-02 -3.990665e-01 
 4.001289e-02 -5.206644e-01 
 4.033095e-02 -7.244418e-01 
 4.064902e-02 -9.288121e-01 
 4.096709e-02 -1.052633e+00 
 4.128516e-02 -1.144919e+00 
 4.160322e-02 -1.260547e+00 
 4.192129e-02 -1.397943e+00 
 4.223936e-02 -1.569673e+00 
 4.255743e-02 -1.757434e+00 
 4.287549e-02 -1.946301e+00 
 4.319356e-02 -2.137104e+00 
 4.351163e-02 -2.310561e+00 
 4.382970e-02 -2.467636e+00 
 4.414776e-02 -2.622560e+00 
 4.446583e-02 -2.754591e+00 
 4.478390e-02 -2.886317e+00 
 4.510196e-02 -3.046374e+00 
 4.542003e-02 -3.184548e+00 
 4.573810e-02 -3.247438e+00 
 4.605617e-02 -3.304006e+00 
 4.637423e-02 -3.401172e+00 
 4.669230e-02 -3.526432e+00 
 4.701037e-02 -3.633999e+00 
 4.732844e-02 -3.763118e+00 
 4.764650e-02 -3.917105e+00 
 4.796457e-02 -4.050214e+00 
 4.828264e-02 -4.161618e+00 
 4.860071e-02 -4.236650e+00 
 4.891877e-02 -4.258545e+00 
 4.923684e-02 -4.255267e+00 
 4.955491e-02 -4.241920e+00 
 4.987298e-02 -4.233014e+00 
 5.019104e-02 -4.307772e+00 
 5.050911e-02 -4.412777e+00 
 5.082718e-02 -4.468090e+00 
 5.114525e-02 -4.481782e+00 
 5.146331e-02 -4.507037e+00 
