StratC_run20_T0.1207
1.190000	0.000000000e+00
1.195000	0.000000000e+00
1.200000	0.000000000e+00
1.205000	0.000000000e+00
1.210000	0.000000000e+00
1.215000	0.000000000e+00
1.220000	0.000000000e+00
1.225000	0.000000000e+00
1.230000	0.000000000e+00
1.235000	0.000000000e+00
1.240000	0.000000000e+00
1.245000	0.000000000e+00
1.250000	0.000000000e+00
1.255000	0.000000000e+00
1.260000	0.000000000e+00
1.265000	0.000000000e+00
1.270000	0.000000000e+00
1.275000	0.000000000e+00
1.280000	0.000000000e+00
1.285000	0.000000000e+00
1.290000	0.000000000e+00
1.295000	0.000000000e+00
1.300000	0.000000000e+00
1.305000	0.000000000e+00
1.310000	0.000000000e+00
1.315000	0.000000000e+00
1.320000	0.000000000e+00
1.325000	0.000000000e+00
1.330000	0.000000000e+00
1.335000	0.000000000e+00
1.340000	0.000000000e+00
1.345000	0.000000000e+00
1.350000	0.000000000e+00
1.355000	0.000000000e+00
1.360000	0.000000000e+00
1.365000	0.000000000e+00
1.370000	0.000000000e+00
1.375000	0.000000000e+00
1.380000	0.000000000e+00
1.385000	0.000000000e+00
1.390000	0.000000000e+00
1.395000	0.000000000e+00
1.400000	0.000000000e+00
1.405000	0.000000000e+00
1.410000	0.000000000e+00
1.415000	0.000000000e+00
1.420000	0.000000000e+00
1.425000	0.000000000e+00
1.430000	0.000000000e+00
1.435000	0.000000000e+00
1.440000	0.000000000e+00
1.445000	0.000000000e+00
1.450000	0.000000000e+00
1.455000	0.000000000e+00
1.460000	0.000000000e+00
1.465000	0.000000000e+00
1.470000	0.000000000e+00
1.475000	0.000000000e+00
1.480000	0.000000000e+00
1.485000	0.000000000e+00
1.490000	0.000000000e+00
1.495000	0.000000000e+00
1.500000	0.000000000e+00
1.505000	0.000000000e+00
1.510000	0.000000000e+00
1.515000	0.000000000e+00
1.520000	0.000000000e+00
1.525000	0.000000000e+00
1.530000	0.000000000e+00
1.535000	0.000000000e+00
1.540000	0.000000000e+00
1.545000	0.000000000e+00
1.550000	0.000000000e+00
1.555000	0.000000000e+00
1.560000	0.000000000e+00
1.565000	0.000000000e+00
1.570000	0.000000000e+00
1.575000	0.000000000e+00
1.580000	0.000000000e+00
1.585000	0.000000000e+00
1.590000	0.000000000e+00
1.595000	0.000000000e+00
1.600000	0.000000000e+00
1.605000	0.000000000e+00
1.610000	0.000000000e+00
1.615000	0.000000000e+00
1.620000	0.000000000e+00
1.625000	0.000000000e+00
1.630000	0.000000000e+00
1.635000	0.000000000e+00
1.640000	0.000000000e+00
1.645000	0.000000000e+00
1.650000	0.000000000e+00
1.655000	0.000000000e+00
1.660000	0.000000000e+00
1.665000	0.000000000e+00
1.670000	0.000000000e+00
1.675000	0.000000000e+00
1.680000	0.000000000e+00
1.685000	0.000000000e+00
1.690000	0.000000000e+00
1.695000	0.000000000e+00
1.700000	0.000000000e+00
1.705000	0.000000000e+00
1.710000	0.000000000e+00
1.715000	0.000000000e+00
1.720000	0.000000000e+00
1.725000	0.000000000e+00
1.730000	0.000000000e+00
1.735000	0.000000000e+00
1.740000	0.000000000e+00
1.745000	0.000000000e+00
1.750000	0.000000000e+00
1.755000	0.000000000e+00
1.760000	0.000000000e+00
1.765000	0.000000000e+00
1.770000	0.000000000e+00
1.775000	0.000000000e+00
1.780000	0.000000000e+00
1.785000	0.000000000e+00
1.790000	0.000000000e+00
1.795000	0.000000000e+00
1.800000	0.000000000e+00
1.805000	0.000000000e+00
1.810000	0.000000000e+00
1.815000	0.000000000e+00
1.820000	0.000000000e+00
1.825000	0.000000000e+00
1.830000	0.000000000e+00
1.835000	0.000000000e+00
1.840000	0.000000000e+00
1.845000	0.000000000e+00
1.850000	0.000000000e+00
1.855000	0.000000000e+00
1.860000	0.000000000e+00
1.865000	0.000000000e+00
1.870000	0.000000000e+00
1.875000	0.000000000e+00
1.880000	0.000000000e+00
1.885000	0.000000000e+00
1.890000	0.000000000e+00
1.895000	0.000000000e+00
1.900000	0.000000000e+00
1.905000	0.000000000e+00
1.910000	0.000000000e+00
1.915000	0.000000000e+00
1.920000	0.000000000e+00
1.925000	0.000000000e+00
1.930000	0.000000000e+00
1.935000	0.000000000e+00
1.940000	0.000000000e+00
1.945000	0.000000000e+00
1.950000	0.000000000e+00
1.955000	0.000000000e+00
1.960000	0.000000000e+00
1.965000	0.000000000e+00
1.970000	0.000000000e+00
1.975000	0.000000000e+00
1.980000	0.000000000e+00
1.985000	0.000000000e+00
1.990000	0.000000000e+00
1.995000	0.000000000e+00
2.000000	0.000000000e+00
2.005000	0.000000000e+00
2.010000	0.000000000e+00
2.015000	0.000000000e+00
2.020000	0.000000000e+00
2.025000	0.000000000e+00
2.030000	0.000000000e+00
2.035000	0.000000000e+00
2.040000	0.000000000e+00
2.045000	0.000000000e+00
2.050000	0.000000000e+00
2.055000	0.000000000e+00
2.060000	0.000000000e+00
2.065000	0.000000000e+00
2.070000	0.000000000e+00
2.075000	0.000000000e+00
2.080000	0.000000000e+00
2.085000	0.000000000e+00
2.090000	0.000000000e+00
2.095000	0.000000000e+00
2.100000	0.000000000e+00
2.105000	0.000000000e+00
2.110000	0.000000000e+00
2.115000	0.000000000e+00
2.120000	0.000000000e+00
2.125000	0.000000000e+00
2.130000	0.000000000e+00
2.135000	0.000000000e+00
2.140000	0.000000000e+00
2.145000	0.000000000e+00
2.150000	0.000000000e+00
2.155000	0.000000000e+00
2.160000	0.000000000e+00
2.165000	0.000000000e+00
2.170000	0.000000000e+00
2.175000	0.000000000e+00
2.180000	0.000000000e+00
2.185000	0.000000000e+00
2.190000	0.000000000e+00
2.195000	0.000000000e+00
2.200000	0.000000000e+00
2.205000	0.000000000e+00
2.210000	0.000000000e+00
2.215000	0.000000000e+00
2.220000	0.000000000e+00
2.225000	0.000000000e+00
2.230000	0.000000000e+00
2.235000	0.000000000e+00
2.240000	0.000000000e+00
2.245000	0.000000000e+00
2.250000	0.000000000e+00
2.255000	0.000000000e+00
2.260000	0.000000000e+00
2.265000	0.000000000e+00
2.270000	0.000000000e+00
2.275000	0.000000000e+00
2.280000	0.000000000e+00
2.285000	0.000000000e+00
2.290000	0.000000000e+00
2.295000	0.000000000e+00
2.300000	0.000000000e+00
2.305000	0.000000000e+00
2.310000	0.000000000e+00
2.315000	0.000000000e+00
2.320000	0.000000000e+00
2.325000	0.000000000e+00
2.330000	0.000000000e+00
2.335000	0.000000000e+00
2.340000	0.000000000e+00
2.345000	0.000000000e+00
2.350000	0.000000000e+00
2.355000	0.000000000e+00
2.360000	0.000000000e+00
2.365000	0.000000000e+00
2.370000	0.000000000e+00
2.375000	0.000000000e+00
2.380000	0.000000000e+00
2.385000	0.000000000e+00
2.390000	0.000000000e+00
2.395000	0.000000000e+00
2.400000	0.000000000e+00
2.405000	0.000000000e+00
2.410000	0.000000000e+00
2.415000	0.000000000e+00
2.420000	0.000000000e+00
2.425000	0.000000000e+00
2.430000	0.000000000e+00
2.435000	0.000000000e+00
2.440000	0.000000000e+00
2.445000	0.000000000e+00
2.450000	0.000000000e+00
2.455000	0.000000000e+00
2.460000	0.000000000e+00
2.465000	0.000000000e+00
2.470000	0.000000000e+00
2.475000	0.000000000e+00
2.480000	0.000000000e+00
2.485000	0.000000000e+00
2.490000	0.000000000e+00
2.495000	0.000000000e+00
2.500000	0.000000000e+00
2.505000	0.000000000e+00
2.510000	0.000000000e+00
2.515000	0.000000000e+00
2.520000	0.000000000e+00
2.525000	0.000000000e+00
2.530000	0.000000000e+00
2.535000	0.000000000e+00
2.540000	0.000000000e+00
2.545000	0.000000000e+00
2.550000	0.000000000e+00
2.555000	0.000000000e+00
2.560000	0.000000000e+00
2.565000	0.000000000e+00
2.570000	0.000000000e+00
2.575000	0.000000000e+00
2.580000	0.000000000e+00
2.585000	0.000000000e+00
2.590000	0.000000000e+00
2.595000	0.000000000e+00
2.600000	0.000000000e+00
2.605000	0.000000000e+00
2.610000	0.000000000e+00
2.615000	0.000000000e+00
2.620000	0.000000000e+00
2.625000	0.000000000e+00
2.630000	0.000000000e+00
2.635000	0.000000000e+00
2.640000	0.000000000e+00
2.645000	0.000000000e+00
2.650000	0.000000000e+00
2.655000	0.000000000e+00
2.660000	0.000000000e+00
2.665000	0.000000000e+00
2.670000	0.000000000e+00
2.675000	0.000000000e+00
2.680000	0.000000000e+00
2.685000	0.000000000e+00
2.690000	0.000000000e+00
2.695000	0.000000000e+00
2.700000	0.000000000e+00
2.705000	0.000000000e+00
2.710000	0.000000000e+00
2.715000	0.000000000e+00
2.720000	0.000000000e+00
2.725000	0.000000000e+00
2.730000	0.000000000e+00
2.735000	0.000000000e+00
2.740000	0.000000000e+00
2.745000	0.000000000e+00
2.750000	0.000000000e+00
2.755000	0.000000000e+00
2.760000	0.000000000e+00
2.765000	0.000000000e+00
2.770000	0.000000000e+00
2.775000	0.000000000e+00
2.780000	0.000000000e+00
2.785000	0.000000000e+00
2.790000	0.000000000e+00
2.795000	0.000000000e+00
2.800000	0.000000000e+00
2.805000	0.000000000e+00
2.810000	0.000000000e+00
2.815000	0.000000000e+00
2.820000	0.000000000e+00
2.825000	0.000000000e+00
2.830000	0.000000000e+00
2.835000	0.000000000e+00
2.840000	0.000000000e+00
2.845000	0.000000000e+00
2.850000	0.000000000e+00
2.855000	0.000000000e+00
2.860000	0.000000000e+00
